Craving Type,Cuisine,Mood Associated,Description,Food Name
Sweet,Western,Comfort,Rich chocolate dessert #307,Chocolate Cake
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #292,Nachos
Sweet,Western,Comfort,Rich chocolate dessert #50,Chocolate Cake
Cold,Various,Tired/Hot Day,Coffee served over ice #969,Cold Coffee
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #643",Sour Candy
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #81,Khichdi
Comfort,Western,Low Mood,"Creamy, cheesy pasta #415",Mac & Cheese
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #786,Khichdi
Comfort,Western,Low Mood,"Creamy, cheesy pasta #962",Mac & Cheese
Salty,American,Snack Craving,Fried potato sticks with salt #262,French Fries
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #543",Spicy Ramen
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #56",Sour Candy
Crunchy,Indian,Rainy Day,Fried vegetable fritters #539,Pakora
Comfort,Western,Low Mood,"Creamy, cheesy pasta #407",Mac & Cheese
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #531,Chicken 65
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #443",Tomato Soup
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #692,Khichdi
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #385",Tomato Soup
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #229,Gulab Jamun
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #272,Chicken 65
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #218,Gulab Jamun
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #404",Spicy Ramen
Salty,American,Snack Craving,Fried potato sticks with salt #295,French Fries
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #738,Nachos
Salty,American,Snack Craving,Fried potato sticks with salt #781,French Fries
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #222,Chicken 65
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #271",Tomato Soup
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #162",Fried Chicken
Sweet,Western,Comfort,Rich chocolate dessert #662,Chocolate Cake
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #887,Khichdi
Warm,Western,Cozy/Winter,Warm milk with chocolate #882,Hot Chocolate
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #444,Gulab Jamun
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #716",Sour Candy
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #192,Khichdi
Crunchy,Indian,Rainy Day,Fried vegetable fritters #223,Pakora
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #888",Sour Candy
Sweet,Western,Comfort,Rich chocolate dessert #993,Chocolate Cake
Crunchy,Indian,Rainy Day,Fried vegetable fritters #594,Pakora
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #572,Khichdi
Warm,Western,Cozy/Winter,Warm milk with chocolate #234,Hot Chocolate
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #652",Lemon Pickle
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #943,Chicken 65
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #884,Chicken 65
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #278",Lemon Pickle
Cold,Various,Happy/Chill,Frozen sweet treat #922,Ice Cream
Cold,Various,Happy/Chill,Frozen sweet treat #201,Ice Cream
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #540",Lemon Pickle
Salty,American,Snack Craving,Fried potato sticks with salt #263,French Fries
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #388,Khichdi
Comfort,Western,Low Mood,"Creamy, cheesy pasta #194",Mac & Cheese
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #818",Spicy Ramen
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #953",Fried Chicken
Crunchy,Indian,Rainy Day,Fried vegetable fritters #909,Pakora
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #589,Chicken 65
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #440,Chicken 65
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #56,Khichdi
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #244",Tomato Soup
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #801,Gulab Jamun
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #331",Sour Candy
Crunchy,Indian,Rainy Day,Fried vegetable fritters #112,Pakora
Salty,American,Snack Craving,Fried potato sticks with salt #576,French Fries
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #95",Sour Candy
Crunchy,Indian,Rainy Day,Fried vegetable fritters #337,Pakora
Cold,Various,Tired/Hot Day,Coffee served over ice #639,Cold Coffee
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #470,Gulab Jamun
Sweet,Western,Comfort,Rich chocolate dessert #220,Chocolate Cake
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #687,Khichdi
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #972,Khichdi
Salty,American,Snack Craving,Fried potato sticks with salt #718,French Fries
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #636,Gulab Jamun
Crunchy,Indian,Rainy Day,Fried vegetable fritters #111,Pakora
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #176,Khichdi
Salty,American,Snack Craving,Fried potato sticks with salt #148,French Fries
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #280",Spicy Ramen
Sweet,Western,Comfort,Rich chocolate dessert #104,Chocolate Cake
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #252,Gulab Jamun
Warm,Western,Cozy/Winter,Warm milk with chocolate #825,Hot Chocolate
Crunchy,Indian,Rainy Day,Fried vegetable fritters #506,Pakora
